scene_id,im_id,obj_id,score,R,t,time
2,3,1,1,0.9999999999921809 -2.086121708738675e-06 -3.3594797523295306e-06 2.0861158245566447e-06 0.9999999999962899 -1.7515325716754848e-06 3.359483406628616e-06 1.751525563448153e-06 0.9999999999928229,-0.003765570886343994 0.0024822252739085116 -0.006128654363010355,5
2,79,1,1,0.9999993092111685 0.0008911356986444074 -0.0007664557078907452 -0.0008910546873462377 0.999999597389407 0.00010603097767780678 0.0007665498872969079 -0.00010534795048244838 0.9999997006514949,0.6939310400532115 -0.09714170298923364 0.05720874084033767,5
2,89,1,1,0.9999992192918512 -5.300115607037581e-06 0.0012495549596691358 5.583910368228695e-06 0.9999999741941862 -0.0002271132905734899 -0.001249553723696617 0.00022712009066717942 0.9999991935156534,-1.1611449206651372 0.19661098230781704 -0.17203502539314286,5
2,96,1,1,0.9999999833841311 0.00017546854318528649 4.942192008000612e-05 -0.00017546479754138034 0.9999999817345002 -7.57832664317476e-05 -4.9435216756640865e-05 7.577459336536446e-05 0.9999999959071848,-0.05083480695390108 0.12675102896042745 -0.03570833792764461,5
2,97,1,1,0.9999999223654216 0.00032516840280730555 0.00022256383237382465 -0.0003251765000738642 0.9999999464695841 3.634655257727802e-05 -0.00022255200170943207 -3.6418922283483826e-05 0.9999999745721339,-0.21893101096503642 0.06131594349567138 0.04391861844555933,5
2,102,1,1,0.9999999313030534 0.00037065958625209783 2.31507785880547e-06 -0.00037065971605032555 0.9999999297197143 5.631998555646889e-05 -2.2942021535021784e-06 -5.6320839793608246e-05 0.9999999984113496,-0.0023723185354356247 -0.039367167219509724 0.014827457189312554,5
2,107,1,1,0.9999999870017197 0.0001263792262359842 0.00010012418284262303 -0.00012632637393109047 0.9999998527881631 -0.00052769811480885 -0.00010019085818291362 0.0005276854596248381 0.9999998557549139,-0.08899683447787221 0.5261870075657384 -0.060126256601051864,5
2,110,1,1,0.9999996388314676 -0.0008322684615450354 0.00017223862345742968 0.000832189152548124 0.999999547921052 0.00046002055040678114 -0.0001726214061877826 -0.00045987704914762784 0.9999998793574683,-0.15331602130014232 -0.5307524557711361 0.048843166525216475,5
2,115,1,1,0.99999979569227 -0.0006335834244431959 8.477890510871777e-05 0.0006336147700702899 0.9999997307350059 -0.0003702191775614705 -8.454431754645331e-05 0.00037027281908952325 0.9999999278751471,-0.13554290259233426 0.4563453503847512 -0.09193514295100158,5
2,119,1,1,0.9999999975779736 -4.901953998248665e-05 -4.940787814644576e-05 4.902151820693201e-05 0.9999999979969163 4.003822772002952e-05 4.940591539143169e-05 -4.0040649672196116e-05 0.9999999979779015,0.018259501601903594 -0.07523730975827903 0.05181286687707143,5
2,124,1,1,0.9999999583685412 -0.0002494274032300292 0.0001450823447875227 0.0002493394470360899 0.9999997853256037 0.0006059526266459225 -0.00014523345483277716 -0.0006059164266681294 0.9999998058862449,-0.09693329061275335 -0.5948131254448015 0.10869190864377742,5
2,126,1,1,0.9999999386550515 -0.00034704980440791733 -4.739542220677517e-05 0.00034703801823410263 0.9999999089161923 -0.0002484596971212283 4.748164577889069e-05 0.0002484432338659692 0.9999999680107259,0.0956466253622068 0.18229452344347408 -0.01319221666562953,5
2,136,1,1,0.999999464561115 -0.0008324002664463204 0.0006148067024356885 0.0008311946157709138 0.9999977363355897 0.0019586830288646773 -0.0006164357189945846 -0.0019581709560890226 0.999997892784536,-0.4849897731827042 -1.6311389935874558 0.06077376501445997,5
2,153,1,1,0.9999990702587909 -0.001078405432516305 0.0008345797010345657 0.0010780241591661355 0.9999993144341657 0.00045715983155614204 -0.000835072132521264 -0.0004562597094353027 0.9999995472407033,-0.8880332573455547 -0.5069393993065869 0.03678573094873627,5
2,156,1,1,0.999999944319802 -0.000326808353321717 6.750327929479216e-05 0.00032679433661242374 0.9999999250638874 0.00020755163482187589 -6.757110384422726e-05 -0.0002075295635759894 0.9999999761828123,-0.08243759980396703 -0.0814810581640728 -0.05280791814425356,5
2,162,1,1,0.9999999888225557 6.736469933824735e-05 -0.00013347991084530775 -6.737583255428392e-05 0.9999999942520776 -8.340468705975157e-05 0.0001334742915464343 8.341367944730838e-05 0.9999999876133858,0.08910035155355445 0.09070277054331655 -0.055019252998135926,5
2,166,1,1,0.9999996376658438 -0.0006038853789694376 0.0005999921906961192 0.0006038775522714812 0.9999998175784734 1.3225741800404478e-05 -0.0006000000680768669 -1.2863415192659877e-05 0.999999819917209,-0.44293802438440366 -0.07600409867994529 0.04764172888610574,5
2,175,1,1,0.9999996726997826 0.0006587808680778573 -0.0004696893602715857 -0.0006587868959734289 0.9999997829195081 -1.2679194466291843e-05 0.00046968090550036923 1.2988615512132817e-05 0.9999998896155654,0.22679768077492213 0.0827992481538331 -0.06767206380959578,5
2,176,1,1,0.9999998863428391 -4.474914364500926e-05 0.00047467022608777 4.449385494402491e-05 0.9999998543848468 0.0005378202134776466 -0.0004746942239623464 -0.0005377990324422488 0.9999997427187644,-0.4157202990277682 -0.4845386093411719 0.10680701998512632,5
2,178,1,1,0.9999999558004008 0.00029503726429319643 3.677239386894009e-05 -0.0002950285130266517 0.9999999282133862 -0.00023776332645949333 -3.6842540270556196e-05 0.0002377524670457501 0.9999999710581952,-0.04887431793484609 0.2401477481320171 -0.0008058306652856118,5
2,203,1,1,0.9999999851606451 0.00011809893627390267 -0.00012542467950785174 -0.00011812893181201156 0.9999999644213154 -0.000239171326277543 0.00012539642916625793 0.0002391861390111938 0.9999999635328625,0.09856487683403259 0.18247172207313156 -0.053195718754068366,5
2,207,1,1,0.9999983064924765 -0.0014293819961155863 0.001159258076430969 0.0014296061477457322 0.9999989595744061 -0.00019255224669584292 -0.0011589816395942143 0.00019420920308002576 0.9999993095219339,-1.0006278463173643 0.16518697471512667 -0.017178830605871553,5
2,217,1,1,0.9999997752820727 -0.00033749634966082423 -0.000579251255558702 0.0003373097957550496 0.99999989122785 -0.00032212790797905844 0.0005793599095453711 0.00032193244846848157 0.9999997803507727,0.44402135926981856 0.2625651613157629 -0.02493348556311048,5
2,219,1,1,0.9999999705940508 7.121614416538691e-05 -0.0002318192356902532 -7.130202144339792e-05 0.9999999288369117 -0.000370462134287243 0.0002317928363085725 0.00037047865257357204 0.9999999045088199,0.1552350228919579 0.24011412075242333 0.029663462154076115,5
2,221,1,1,0.9999999421575367 -8.991788893292219e-05 -0.00032802392857128604 8.984505122067166e-05 0.9999999713090612 -0.0002220579748701268 0.0003280438861441026 0.00022202849069863362 0.9999999215452766,0.2965900361363083 0.20287670216552556 -0.011804514905747965,5
2,224,1,1,0.9999997989360119 -0.00046858610948419255 0.0004272645483842097 0.0004682540133087165 0.9999995884809758 0.0007770302815138241 -0.0004276284781534606 -0.0007768300569412911 0.9999996068343965,-0.2988641980297899 -0.6246419816517985 0.0407925717162243,5
2,243,1,1,0.9999999734350689 -5.108073569626281e-06 -0.00023044254954851517 5.103264857586609e-06 0.9999999997692443 -2.086787540156454e-05 0.00023044265608967995 2.086669883771819e-05 0.9999999732303808,0.20530742804137958 0.02828337434112882 -0.06314098884251962,5
2,248,1,1,0.9999998119186255 0.00015917464370945877 0.0005923057877544324 -0.00015993695919158668 0.9999991587606489 0.0012872055635611002 -0.0005921003989964313 -0.0012873000530485013 0.9999989961373419,-0.5299594615682963 -1.0458712179781742 0.22063029801290668,5
2,249,1,1,0.999999376052257 0.0004953004846266484 -0.0010012854370512747 -0.0004958027053861835 0.9999997513938241 -0.0005013900342753924 0.0010010368493983124 0.000501886161462739 0.9999993730175567,0.8852125993932702 0.4912137129382046 -0.16822155042757458,5
2,254,1,1,0.9999998566497913 -0.00020230021353751654 0.0004957570188616756 0.0002019558249371986 0.9999997383557822 0.0006946237921977086 -0.000495897411690982 -0.0006945235716057305 0.9999996358613168,-0.39167065956215197 -0.6376695450134946 -0.024379191903790343,5
2,263,1,1,0.999998045676919 0.0015550776661124015 -0.001220809483637092 -0.0015562915029854515 0.9999982949897239 -0.0009939690150995717 0.001219261703128251 0.0009958670079888154 0.9999987608241334,1.0063122338517871 1.034463970331899 -0.2259879766299946,5
2,266,1,1,0.9999995891895492 0.0009051768726044962 -4.77028513712896e-05 -0.0009052060435473797 0.9999994011380802 -0.0006150817016353505 4.714606507266739e-05 0.0006151246298629898 0.9999998096994513,-0.04075868420949291 0.5751773546774501 -0.014643893735069469,5
2,268,1,1,0.9999998480927783 -0.00021596882136243334 0.0005071211779646978 0.00021582689083771145 0.9999999375337263 0.0002799130181424109 -0.0005071815987712225 -0.00027980352523446217 0.9999998322383931,-0.3534280236614791 -0.22367340027189186 0.03204603613244217,5
