scene_id,im_id,obj_id,score,R,t,time
2,3,1,1,0.9999999999921815 -2.086120395677904e-06 -3.3594835605055273e-06 2.0861145116068958e-06 0.9999999999962905 -1.751532990493243e-06 3.359487214471546e-06 1.7515259821132556e-06 0.9999999999928234,-0.0037655665801423766 0.0024822259105974354 -0.006128654681106127,5
2,79,1,1,0.9999998935834858 -0.0002860719660510713 0.00036193348438576245 0.0002861704980961499 0.9999999220025805 -0.0002722155005401572 -0.00036185558293247433 0.000272319046257366 0.9999998974514318,-0.3254813722986931 0.27335142849861427 -0.06512311173446506,5
2,89,1,1,0.9999997079435798 0.0002477605899801616 -0.0007229989248871832 -0.00024739967143333486 0.9999998447747716 0.0004992432631718974 0.0007231225054649924 -0.000499064247668126 0.999999614014285,0.6102942827454569 -0.48639276888582117 0.1967478381627643,5
2,96,1,1,0.9999999777529446 -6.621260193088313e-05 0.00020027481583118067 6.62415105815578e-05 0.9999999873887643 -0.00014434172326172057 -0.00020026525606420265 0.0001443549865568633 0.9999999695277321,-0.14148007901394521 0.11693986639193099 0.010485083175012733,5
2,97,1,1,0.9999998587484852 0.0005289658475114076 -5.194364108045829e-05 -0.000528984493665792 0.9999997954266622 -0.00035961373628079496 5.175340706929654e-05 0.0003596411628654095 0.999999933989907,0.04919606361761453 0.45657605283582114 -0.02471552733209137,5
2,102,1,1,0.9999999130626983 -0.0001456507913639299 0.00039071785459249275 0.00014558001584541458 0.9999999729929238 0.00018116459310409117 -0.00039074423080665 -0.0001811076966424935 0.9999999072594694,-0.3318886450979903 -0.1724043100864776 0.05653422680552467,5
2,107,1,1,0.9999999569444431 -0.0002879123355312152 -5.672388331676159e-05 0.00028792067240862584 0.9999999477434529 0.00014701965297076597 5.6681551580863715e-05 -0.00014703597861943918 0.999999987583811,0.10163011152327517 -0.15491829780179955 0.010666390830465389,5
2,110,1,1,0.9999995882168277 -0.0007512991160816274 0.00050903419682366 0.0007512792641617971 0.999999717021794 3.918927828783225e-05 -0.0005090634956479434 -3.8806835313431876e-05 0.9999998696741851,-0.4178612037758569 -0.09784905264025667 0.044153727571824675,5
2,115,1,1,0.9999998186646397 0.0003227159849745753 -0.0005084536168474263 -0.0003228496654225643 0.9999999133375143 -0.0002628555824659984 0.0005083687450852525 0.0002630196888810665 0.9999998361909177,0.5161625657802063 0.19466790584925064 0.11954392175448447,5
2,119,1,1,0.9999999782874709 9.617210186010916e-05 -0.00018486748164191213 -9.620726489495413e-05 0.9999999772826866 -0.0001902072249690412 0.00018484918481363397 0.00019022500643406381 0.9999999648226123,0.1778712198551773 0.16397601643173232 -0.04116045988860151,5
2,124,1,1,0.9999999177213836 0.0004013599367020393 5.888486626404177e-05 -0.00040138413090928804 0.9999998348046732 0.00041143821626316024 -5.871972172000195e-05 -0.00041146181786141933 0.9999999136255798,-0.13893969324284683 -0.3807851794288126 0.05009232655334017,5
2,126,1,1,0.9999999992585542 -2.033136792466833e-05 -3.270361759127264e-05 2.032852137695551e-05 0.999999996005505 -8.70387367485452e-05 3.270538707712757e-05 8.703807186779405e-05 0.9999999956773662,0.03170727610060453 0.05097899523539695 0.007101565707444024,5
2,136,1,1,0.9999998888570683 -0.00028435902454804207 0.0003760662131725434 0.00028411376669701394 0.9999997470489385 0.0006520593740202973 -0.00037625153701373315 -0.0006519524559601697 0.999999716696348,-0.30845662423533327 -0.5627372827363786 0.021977393010615742,5
2,153,1,1,0.9999996772645214 0.0004982630185972337 -0.0006302418714849156 -0.000498294319657866 0.9999998746258025 -4.9509107991729806e-05 0.0006302171239111476 4.982313795809379e-05 0.9999998001719961,0.6116149998675979 0.10311223405881087 -0.052861700044672943,5
2,156,1,1,0.9999998575619741 0.00045715459780416856 -0.00027547360184251857 -0.0004573024937042369 0.9999997512231138 -0.0005370550626001003 0.00027522801611989944 0.0005371809608680778 0.9999998178430606,0.2639872508225096 0.41180510724475994 0.015196097459238445,5
2,162,1,1,0.9999999803948079 0.00011664741224204356 0.00016001176396224226 -0.00011663493792435364 0.9999999901588071 -7.796586949727902e-05 -0.0001600208569046413 7.794720500654828e-05 0.9999999841587784,-0.2195708333732398 0.06094245483649274 0.015000265561297965,5
2,166,1,1,0.9999999361459573 0.00015298410452688205 0.00032296121188801763 -0.00015297637564057331 0.9999999880121723 -2.3955881346356123e-05 -0.00032296487288541176 2.390647437999771e-05 0.9999999475610838,-0.3019769012041138 0.034045716285120875 0.03025617263949698,5
2,175,1,1,0.9999999858895539 4.152044484520556e-05 -0.0001627788215822351 -4.149562315272637e-05 0.9999999875128157 0.0001524876449691126 0.0001627851509047873 -0.00015248088820829508 0.9999999751252866,0.14137980641109493 -0.14050566636947792 0.004879505872395384,5
2,176,1,1,0.9999998413577251 -0.00028197199010374097 0.00048762313281619507 0.0002819063357669682 0.9999999511916827 0.00013470504496509994 -0.0004876610920657165 -0.00013456755954421862 0.9999998720391072,-0.3949162282626446 -0.13635865864713992 0.061154325475740734,5
2,178,1,1,0.9999999795551384 -6.24550415580516e-05 -0.00019232548115560855 6.244315223907781e-05 0.9999999961393157 -6.182412232992596e-05 0.00019232934164117865 6.181211165663669e-05 0.9999999795943432,0.21519236517126217 0.028421851223782824 -0.026514297004951004,5
2,203,1,1,0.9999999657121277 -0.0001560186528654084 0.00021031862416490132 0.0001559921086614069 0.9999999798674898 0.00012621997392237017 -0.0002103383126007552 -0.00012618716154927379 0.9999999699172968,-0.1465340436232765 -0.12036836122848626 0.04941893561840516,5
2,207,1,1,0.9999998871354425 0.0003933168036401036 -0.0002665164051765534 -0.0003932983975769577 0.9999999202700481 6.911054371199973e-05 0.0002665435662651261 -6.900571543690462e-05 0.9999999620963678,0.19094420352284658 -0.05920530105238697 0.01775174111958222,5
2,217,1,1,0.9999999821814503 -0.0001325896358674028 0.00013437666195620368 0.00013258435496171783 0.9999999904381581 3.9307420706957696e-05 -0.00013438187242792443 -3.928960376317625e-05 0.9999999901989198,-0.06468111640538154 -0.03331502605055903 0.008111925496109507,5
2,219,1,1,0.9999999959169309 -8.489314332147963e-05 3.0972446074993554e-05 8.490175682265844e-05 0.999999957696327 -0.0002782068230459678 -3.094882691306172e-05 0.00027820945152493004 0.9999999608208352,-0.032921191588691556 0.18361359352245188 -0.042397666568376735,5
2,221,1,1,0.9999996706569532 -0.00016119032771277214 0.0007954267180049213 0.00016135326554446439 0.9999999660144452 -0.00020478337679968352 -0.0007953936818727025 0.0002049116540542035 0.9999996626799954,-0.6040292644878207 0.1887333269733915 -0.18193733351210994,5
2,224,1,1,0.9999999028548774 0.0001890657303324078 -0.0003981763244454428 -0.00018902500058191885 0.9999999768994808 0.00010232588805475507 0.0003981956615661253 -0.00010225061283451742 0.9999999154925102,0.2837293285633251 -0.06999761419214678 0.0012860104053515897,5
2,243,1,1,0.9999999853965968 9.364409514250882e-05 -0.00014296009928005393 -9.364304536430001e-05 0.9999999955884803 7.349831020117548e-06 0.00014296078691777847 -7.336443693758965e-06 0.9999999897541955,0.13389263375779592 0.018499057647801465 -0.0048799735083093765,5
2,248,1,1,0.9999999967829014 -4.9653124629733814e-05 6.29981388118872e-05 4.9651293347899306e-05 0.999999998344841 2.9070058436241053e-05 -6.299958212646617e-05 -2.9066930403116864e-05 0.9999999975930837,-0.05621474654429903 -0.03494571487857456 0.02310487358897717,5
